"","Y","Y2","FEM","AGE","EDU"
"571",62.5,63.5,1,59,12
"572",375,376,1,53,12
"573",600,601,0,58,12
"574",225,226,0,46,16
"575",62.5,63.5,1,56,12
"576",275,276,1,48,12
"577",425,426,0,63,16
"578",175,176,1,57,12
"579",325,326,0,52,12
"580",375,376,0,28,14
"581",375,376,1,42,16
"582",112.5,113.5,1,63,12
"583",375,376,0,41,16
"584",700,701,0,57,16
"585",137.5,138.5,1,45,12
"586",25,26,0,52,12
"587",87.5,88.5,1,60,12
"588",87.5,88.5,1,53,12
"589",700,701,0,34,16
"590",25,26,1,45,12
"591",325,326,1,34,12
"592",325,326,0,40,12
"593",225,226,1,64,14
"594",225,226,1,48,12
"595",225,226,1,22,12
"596",62.5,63.5,1,47,16
"597",87.5,88.5,1,61,12
"598",325,326,1,39,14
"599",375,376,0,55,12
"600",275,276,1,39,12
"601",600,601,0,40,12
"602",225,226,0,62,12
"603",1000,1001,0,52,12
"604",225,226,0,23,16
"605",137.5,138.5,0,54,12
"606",500,501,0,41,16
"607",500,501,0,59,14
"608",500,501,0,42,12
"609",425,426,1,41,14
"610",325,326,1,48,12
"611",87.5,88.5,1,62,12
"612",25,26,1,61,14
"613",25,26,1,63,12
"614",700,701,0,40,16
"615",275,276,0,44,12
"616",62.5,63.5,0,62,12
"617",425,426,0,37,12
"618",25,26,1,40,16
"619",700,701,0,58,18
"620",112.5,113.5,0,62,16
"621",112.5,113.5,0,20,16
"622",1000,1001,0,45,12
"623",275,276,1,43,12
"624",600,601,0,45,16
"625",37.5,38.5,1,33,14
"626",275,276,1,57,12
"627",500,501,1,42,14
"628",1000,1001,1,41,12
"629",25,26,1,42,14
"630",275,276,0,54,12
"631",112.5,113.5,1,55,16
"632",600,601,1,36,12
"633",375,376,0,63,12
"634",375,376,1,52,15
"635",600,601,0,42,16
"636",0,1,1,39,12
"637",87.5,88.5,1,56,12
"638",375,376,0,59,12
"639",0,1,0,35,16
"640",87.5,88.5,1,57,12
"641",87.5,88.5,1,62,9
"642",600,601,0,52,16
"643",0,1,0,28,12
"644",275,276,1,45,12
"645",87.5,88.5,1,58,16
"646",175,176,1,49,12
"647",425,426,0,63,12
"648",137.5,138.5,1,56,12
"649",600,601,0,47,12
"650",0,1,1,40,12
"651",62.5,63.5,1,56,9
"652",500,501,1,60,9
"653",700,701,0,59,12
"654",1000,1001,0,39,16
"655",175,176,0,56,12
"656",275,276,0,53,12
"657",225,226,1,53,16
"658",137.5,138.5,1,29,12
"659",0,1,1,32,16
"660",600,601,1,53,14
"661",1000,1001,0,44,21
"662",137.5,138.5,1,59,12
"663",112.5,113.5,1,40,12
"664",137.5,138.5,1,47,12
"665",700,701,0,64,14
"666",0,1,1,59,12
"667",325,326,1,33,12
"668",112.5,113.5,1,28,12
"669",0,1,1,32,14
"670",500,501,1,58,12
"671",375,376,0,28,16
"672",62.5,63.5,1,45,12
"673",325,326,1,29,16
"674",600,601,0,52,14
"675",375,376,0,41,12
"676",325,326,1,30,12
"677",375,376,1,37,12
"678",425,426,0,47,16
"679",25,26,1,62,9
"680",175,176,1,29,16
"681",275,276,0,46,12
"682",175,176,0,58,12
"683",87.5,88.5,1,59,14
"684",325,326,0,62,9
"685",275,276,0,26,16
"686",325,326,0,36,16
"687",325,326,0,35,12
"688",500,501,1,46,12
"689",425,426,0,27,16
"690",25,26,1,44,12
"691",325,326,0,62,12
"692",900,901,0,60,12
"693",500,501,0,31,12
"694",62.5,63.5,1,64,12
"695",0,1,1,22,21
"696",0,1,1,57,14
"697",275,276,0,52,16
"698",800,801,0,54,16
"699",225,226,1,32,12
"700",225,226,1,54,16
"701",25,26,1,62,12
"702",325,326,0,26,18
"703",425,426,1,46,16
"704",600,601,0,46,16
"705",87.5,88.5,1,49,12
"706",325,326,0,36,12
"707",700,701,0,47,16
"708",225,226,0,59,9
"709",800,801,0,52,16
"710",500,501,1,52,12
"711",500,501,0,47,12
"712",1900,1901,0,52,16
"713",375,376,0,62,16
"714",700,701,1,59,12
"715",0,1,1,59,14
"716",425,426,0,64,16
"717",175,176,1,38,12
"718",375,376,0,34,12
"719",0,1,1,43,14
"720",700,701,0,52,9
"721",0,1,0,58,14
"722",175,176,1,42,16
"723",0,1,1,60,14
"724",375,376,1,45,12
"725",800,801,0,54,16
"726",112.5,113.5,1,50,12
"727",275,276,0,54,12
"728",600,601,0,44,12
"729",275,276,1,33,14
"730",425,426,0,63,12
"731",275,276,0,40,12
"732",0,1,1,61,14
"733",325,326,0,49,16
